column_name,dtype,non_null_count,null_count,unique_count,role
age,int64,10000,0,54,feature
sex,int64,10000,0,2,feature
education,int64,10000,0,4,feature
marriage,int64,10000,0,3,feature
num_dependents,int64,10000,0,5,feature
home_ownership,int64,10000,0,3,feature
years_at_address,float64,10000,0,242,feature
employment_status,int64,10000,0,4,feature
years_employed,float64,10000,0,322,feature
annual_income,float64,10000,0,9507,feature
monthly_income,float64,10000,0,6044,feature
income_source,int64,10000,0,4,feature
has_other_loans,int64,10000,0,2,feature
region,int64,10000,0,5,feature
limit_bal,int64,10000,0,10,feature
current_balance,float64,10000,0,8286,feature
available_credit,float64,10000,0,8711,feature
credit_utilization,float64,10000,0,5602,feature
over_limit_flag,int64,10000,0,1,feature
balance_to_limit_6m_avg,float64,10000,0,10000,feature
utilization_trend,float64,10000,0,2248,feature
pay_0,int64,10000,0,11,feature
pay_2,int64,10000,0,11,feature
pay_3,int64,10000,0,11,feature
pay_4,int64,10000,0,11,feature
pay_5,int64,10000,0,11,feature
pay_6,int64,10000,0,11,feature
max_pay_delay,int64,10000,0,10,feature
num_late_payments,int64,10000,0,7,feature
payment_consistency_score,float64,10000,0,7,feature
bill_amt1,float64,10000,0,8956,feature
bill_amt2,float64,10000,0,8937,feature
bill_amt3,float64,10000,0,8935,feature
bill_amt4,float64,10000,0,8869,feature
bill_amt5,float64,10000,0,8915,feature
bill_amt6,float64,10000,0,8930,feature
avg_bill_amt,float64,10000,0,8946,feature
max_bill_amt,float64,10000,0,9380,feature
bill_volatility,float64,10000,0,9981,feature
pay_amt1,float64,10000,0,8294,feature
pay_amt2,float64,10000,0,8278,feature
pay_amt3,float64,10000,0,8297,feature
pay_amt4,float64,10000,0,8256,feature
pay_amt5,float64,10000,0,8265,feature
pay_amt6,float64,10000,0,8241,feature
avg_pay_amt,float64,10000,0,8316,feature
total_paid_6m,float64,10000,0,9673,feature
pay_to_bill_ratio,float64,10000,0,3519,feature
credit_score,float64,10000,0,404,feature
num_credit_inquiries_6m,int64,10000,0,8,feature
num_open_accounts,int64,10000,0,14,feature
num_closed_accounts,int64,10000,0,10,feature
oldest_account_years,float64,10000,0,379,feature
num_delinquencies_2yr,int64,10000,0,6,feature
num_public_records,int64,10000,0,4,feature
bankruptcy_flag,int64,10000,0,2,feature
debt_collection_flag,int64,10000,0,2,feature
credit_mix_score,int64,10000,0,5,feature
card_type,int64,10000,0,4,feature
rewards_program,int64,10000,0,2,feature
card_age_months,int64,10000,0,239,feature
num_cards_held,int64,10000,0,7,feature
primary_card_flag,int64,10000,0,2,feature
annual_fee,int64,10000,0,5,feature
credit_limit_increase_count,int64,10000,0,5,feature
avg_monthly_spend,float64,10000,0,8782,feature
num_transactions_monthly,int64,10000,0,31,feature
avg_transaction_value,float64,10000,0,9664,feature
cash_advance_usage_pct,float64,10000,0,3044,feature
cash_advance_count_6m,int64,10000,0,7,feature
foreign_transaction_flag,int64,10000,0,2,feature
online_transaction_pct,float64,10000,0,5579,feature
travel_category_spend_pct,float64,10000,0,3933,feature
grocery_category_spend_pct,float64,10000,0,5197,feature
restaurant_spend_pct,float64,10000,0,4830,feature
returned_payment_count,int64,10000,0,4,feature
weekend_spend_pct,float64,10000,0,5528,feature
debt_to_income_ratio,float64,10000,0,6595,feature
monthly_obligation_ratio,float64,10000,0,9531,feature
credit_limit_to_income,float64,10000,0,8347,feature
income_stability_index,float64,10000,0,2583,feature
net_worth_proxy,float64,10000,0,9017,feature
spend_to_income_ratio,float64,10000,0,9406,feature
urban_flag,int64,10000,0,2,feature
state_code,int64,10000,0,50,feature
zip_income_percentile,float64,10000,0,6321,feature
app_login_frequency_monthly,int64,10000,0,22,feature
paperless_flag,int64,10000,0,2,feature
autopay_enrolled,int64,10000,0,2,feature
customer_service_calls_6m,int64,10000,0,7,feature
dispute_count_1yr,int64,10000,0,4,feature
num_cards_held_total_institutions,int64,10000,0,9,feature
months_since_last_delinquency,int64,10000,0,73,feature
mobile_app_user,int64,10000,0,2,feature
email_open_rate,float64,10000,0,5600,feature
min_pay_flag,int64,10000,0,1,feature
spend_to_limit_ratio,float64,10000,0,3119,feature
payment_to_income_ratio,float64,10000,0,9188,feature
repeat_late_payer_flag,int64,10000,0,2,feature
credit_card_default,int64,10000,0,2,target
