age,sex,education,marriage,num_dependents,home_ownership,years_at_address,employment_status,years_employed,annual_income,monthly_income,income_source,has_other_loans,region,limit_bal,current_balance,available_credit,credit_utilization,over_limit_flag,balance_to_limit_6m_avg,utilization_trend,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,max_pay_delay,num_late_payments,payment_consistency_score,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,avg_bill_amt,max_bill_amt,bill_volatility,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,avg_pay_amt,total_paid_6m,pay_to_bill_ratio,credit_score,num_credit_inquiries_6m,num_open_accounts,num_closed_accounts,oldest_account_years,num_delinquencies_2yr,num_public_records,bankruptcy_flag,debt_collection_flag,credit_mix_score,card_type,rewards_program,card_age_months,num_cards_held,primary_card_flag,annual_fee,credit_limit_increase_count,avg_monthly_spend,num_transactions_monthly,avg_transaction_value,cash_advance_usage_pct,cash_advance_count_6m,foreign_transaction_flag,online_transaction_pct,travel_category_spend_pct,grocery_category_spend_pct,restaurant_spend_pct,returned_payment_count,weekend_spend_pct,debt_to_income_ratio,monthly_obligation_ratio,credit_limit_to_income,income_stability_index,net_worth_proxy,spend_to_income_ratio,urban_flag,state_code,zip_income_percentile,app_login_frequency_monthly,paperless_flag,autopay_enrolled,customer_service_calls_6m,dispute_count_1yr,num_cards_held_total_institutions,months_since_last_delinquency,mobile_app_user,email_open_rate,min_pay_flag,spend_to_limit_ratio,payment_to_income_ratio,repeat_late_payer_flag,credit_card_default
59,2,1,2,1,1,0.4,1,4.5,33983.0,2832.0,1,1,5,500000,15650.0,484350.0,0.0313,0,0.0567312408919316,-0.005,2,2,-1,0,3,2,3,4,0.3333,144010.0,71686.0,188288.0,207467.0,52414.0,92654.0,126086.0,207467.0,58191.99,123837.0,51325.0,76139.0,188927.0,9476.0,41152.0,81809.0,490856.0,0.6488,752.0,4,3,9,17.3,0,0,0,0,5,1,1,82,3,0,0,0,81667.0,22,3712.14,0.0102,0,0,0.7683,0.2381,0.0499,0.4811,0,0.1513,0.4605,44.5062,14.7128,0.1125,15292.0,28.827,1,11,0.137,11,1,1,1,0,1,0,1,0.3801,0,0.1633,28.8772,1,1
72,2,1,1,2,1,2.4,1,3.6,29149.0,2429.0,1,1,3,50000,25535.0,24465.0,0.5107,0,0.6506645211185855,0.0047,-1,-1,2,-1,1,0,2,2,0.6667,20330.0,7939.0,5050.0,5531.0,14249.0,3059.0,9360.0,20330.0,6044.31,13561.0,4326.0,3556.0,4736.0,11107.0,2612.0,6650.0,39898.0,0.7105,604.0,2,2,0,2.4,1,0,0,0,2,3,0,184,1,0,0,1,7760.0,26,298.46,0.0389,1,0,0.7563,0.1553,0.4586,0.4752,0,0.1862,0.876,3.8519,1.7153,0.0679,10494.0,3.1934,1,12,0.6828,10,0,1,2,0,5,44,1,0.6899,0,0.1552,2.7366,0,1
28,2,2,2,4,0,4.2,3,1.2,106232.0,8853.0,1,1,4,500000,285650.0,214350.0,0.5713,0,0.4834536226842642,-0.0564,0,0,-1,-1,-1,3,3,1,0.8333,95381.0,200349.0,31307.0,196869.0,94439.0,149451.0,127966.0,200349.0,60521.8,40236.0,42785.0,10770.0,62200.0,72907.0,125718.0,59103.0,354616.0,0.4619,802.0,1,6,8,5.1,0,0,0,0,1,2,0,127,5,1,195,1,127949.0,18,7108.28,0.2247,1,0,0.5722,0.2782,0.314,0.3239,0,0.147,2.6889,14.4529,4.7066,0.1333,12748.0,14.451,1,7,0.2895,10,1,0,1,0,4,0,1,0.3632,0,0.2559,6.6753,0,1
31,2,1,2,0,0,16.7,1,7.9,42128.0,3511.0,1,0,2,30000,5028.0,24972.0,0.1676,0,0.1531874880494594,-0.0182,0,-1,-1,-1,0,0,0,0,1.0,5153.0,2004.0,2860.0,7398.0,10833.0,17376.0,7604.0,17376.0,5257.28,2447.0,851.0,2115.0,4650.0,5407.0,7494.0,3827.0,22964.0,0.5033,785.0,0,11,0,5.2,0,1,0,0,5,1,1,21,7,0,0,1,6583.0,16,411.44,0.028,1,1,0.24,0.1558,0.2749,0.2376,0,0.3622,0.1193,2.1651,0.7121,0.6583,33281.0,1.8744,1,1,0.6802,13,0,1,1,0,9,29,1,0.5999,0,0.2194,1.0897,0,0
44,1,1,1,1,0,2.1,3,0.6,40979.0,3415.0,1,1,1,100000,28630.0,71370.0,0.2863,0,0.4357506463456555,0.0404,-1,2,0,0,2,-1,2,2,0.6667,71779.0,66826.0,44091.0,83311.0,32419.0,59193.0,59603.0,83311.0,17040.42,50251.0,11932.0,32272.0,63642.0,11984.0,33508.0,33932.0,203589.0,0.5693,671.0,1,13,2,1.1,0,1,0,0,4,2,1,62,2,1,0,2,55019.0,15,3667.93,0.2036,0,0,0.4425,0.01,0.1184,0.2413,1,0.3335,0.6986,17.4482,2.4402,0.024,2459.0,16.1063,1,6,0.0389,8,1,1,2,0,1,66,1,0.3577,0,0.5502,9.9333,1,1
44,2,2,2,0,0,10.7,1,1.8,92985.0,7749.0,1,0,5,20000,4900.0,15100.0,0.245,0,0.1590419605079405,0.0596,0,0,-1,0,-1,-1,0,0,1.0,10296.0,4867.0,7097.0,8226.0,6924.0,4247.0,6943.0,10296.0,2020.35,1757.0,2153.0,2144.0,7025.0,5124.0,2601.0,3467.0,20804.0,0.4994,687.0,0,4,1,23.7,1,1,0,0,1,2,1,15,1,1,0,0,5228.0,30,174.27,0.014,0,0,0.7224,0.0364,0.1024,0.3044,0,0.499,0.0527,0.8959,0.2151,0.072,16737.0,0.6746,0,49,0.0204,7,0,1,1,1,9,40,0,0.113,0,0.2614,0.4474,0,0
42,1,2,1,2,1,2.4,3,0.9,38733.0,3228.0,1,0,1,30000,24357.0,5643.0,0.8119,0,0.8720609575072507,-0.0013,-1,4,4,-1,-1,-1,4,2,0.6667,8107.0,10864.0,9294.0,8222.0,7629.0,12143.0,9376.0,12143.0,1626.41,5556.0,6460.0,2883.0,6760.0,2096.0,8286.0,5340.0,32041.0,0.5695,632.0,1,10,6,9.8,0,0,0,0,4,2,1,126,6,0,450,2,5654.0,25,226.16,0.0182,0,0,0.5548,0.1264,0.7544,0.5424,3,0.179,0.6288,2.9037,0.7745,0.0391,3486.0,1.751,1,11,0.475,7,0,0,0,1,1,66,1,0.2744,0,0.1885,1.6538,1,0
73,2,3,1,0,0,0.6,1,2.5,146880.0,12240.0,1,0,5,20000,6580.0,13420.0,0.329,0,0.2906848653390407,0.0436,0,-1,1,-1,-1,0,1,1,0.8333,283.0,8541.0,4310.0,7635.0,10816.0,6445.0,6338.0,10816.0,3351.0,202.0,6773.0,3528.0,3868.0,4075.0,3382.0,3638.0,21828.0,0.574,764.0,0,9,2,2.3,0,0,0,1,1,1,1,102,2,1,95,2,6591.0,26,253.5,0.1753,1,1,0.6365,0.0277,0.2533,0.2942,0,0.0724,0.0448,0.5178,0.1362,0.0463,36720.0,0.5384,1,31,0.6697,4,1,0,1,0,1,0,0,0.3784,0,0.3295,0.2972,0,0
44,2,1,1,3,1,9.0,1,2.0,122718.0,10226.0,1,0,2,50000,13905.0,36095.0,0.2781,0,0.3472325035280277,0.0404,2,0,-1,0,-1,2,2,2,0.6667,26992.0,7367.0,21635.0,14285.0,29332.0,11328.0,18490.0,29332.0,8087.25,23991.0,3517.0,14670.0,5004.0,25565.0,2899.0,12608.0,75646.0,0.6819,659.0,1,14,8,7.0,1,0,0,0,4,2,0,69,2,1,0,1,14952.0,14,1068.0,0.1098,1,1,0.423,0.0406,0.2084,0.3011,0,0.4005,0.1133,1.808,0.4074,0.08,24544.0,1.462,1,10,0.1055,9,1,1,0,0,6,64,0,0.242,0,0.299,1.2328,1,0
50,2,2,2,0,2,0.8,1,6.7,85945.0,7162.0,1,1,3,50000,24505.0,25495.0,0.4901,0,0.491820115029718,-0.0133,0,-1,0,-1,-1,0,0,0,1.0,13689.0,13158.0,28403.0,7313.0,25632.0,22529.0,18454.0,28403.0,7549.69,11770.0,9941.0,21557.0,2287.0,10062.0,12584.0,11367.0,68201.0,0.616,702.0,1,13,6,1.0,0,0,0,0,5,1,0,158,1,1,195,0,19259.0,13,1481.46,0.0248,3,1,0.4259,0.3869,0.3182,0.6071,0,0.3804,0.2851,2.5763,0.5818,0.2161,57583.0,2.6887,1,23,0.2827,11,0,1,3,0,7,0,0,0.2854,0,0.3852,1.5869,0,0
32,2,2,2,2,1,1.8,2,0.2,53961.0,4497.0,1,1,3,50000,16100.0,33900.0,0.322,0,0.3811554140496811,0.0018,-1,-1,4,-1,3,0,4,2,0.6667,16026.0,28250.0,27963.0,16997.0,10713.0,10955.0,18484.0,28250.0,7194.37,12564.0,2054.0,25349.0,8216.0,8148.0,6629.0,10493.0,62960.0,0.5677,681.0,0,10,7,1.8,0,0,0,0,2,4,1,154,2,1,95,2,15125.0,15,1008.33,0.0287,1,0,0.6452,0.25,0.4941,0.1817,0,0.7037,0.2984,4.1094,0.9266,0.0154,1079.0,3.3626,1,32,0.0522,10,1,0,4,0,3,62,1,0.0896,0,0.3025,2.3328,1,0
42,1,2,2,0,0,2.3,3,2.4,104241.0,8687.0,3,1,3,20000,9338.0,10662.0,0.4669,0,0.4678413227078697,-0.0142,2,-1,1,0,-1,-1,2,2,0.6667,9093.0,8738.0,9200.0,17353.0,7027.0,6706.0,9686.0,17353.0,3564.18,6407.0,5332.0,5886.0,7378.0,4877.0,3803.0,5614.0,33683.0,0.5796,705.0,1,9,8,1.1,1,0,0,1,3,1,1,66,2,0,95,2,10591.0,26,407.35,0.1259,0,0,0.9141,0.0347,0.141,0.0795,2,0.3776,0.0896,1.1149,0.1919,0.1043,25018.0,1.219,1,15,0.6659,9,1,0,2,0,6,0,0,0.2302,0,0.5295,0.6462,0,0
64,2,1,3,3,0,2.6,3,8.3,13489.0,1124.0,3,1,5,100000,39730.0,60270.0,0.3973,0,0.4027021852647418,0.0601,0,-1,0,1,-1,0,1,1,0.8333,55731.0,19859.0,45355.0,38004.0,17458.0,66796.0,40534.0,66796.0,17843.03,34642.0,11983.0,22577.0,32776.0,8831.0,36064.0,24479.0,146873.0,0.6039,632.0,0,8,3,14.7,0,3,0,1,3,1,0,209,3,1,450,1,32077.0,21,1527.48,0.035,2,0,0.5161,0.146,0.6721,0.4546,0,0.3879,2.9451,36.0302,7.4129,0.1844,11196.0,28.5129,1,24,0.2804,5,1,1,2,0,9,55,1,0.6613,0,0.3208,21.7591,0,1
45,1,1,2,1,0,0.1,1,7.2,51693.0,4308.0,3,1,3,20000,4084.0,15916.0,0.2042,0,0.2935553601259363,0.0688,1,-1,-1,-1,-1,-1,1,1,0.8333,8270.0,6750.0,7273.0,10094.0,3364.0,8926.0,7446.0,10094.0,2123.61,3710.0,3739.0,5828.0,3878.0,1941.0,3191.0,3714.0,22287.0,0.4988,653.0,2,7,5,11.0,0,0,0,0,3,1,1,29,4,1,0,0,5468.0,20,273.4,0.3804,0,0,0.7828,0.2806,0.4735,0.358,1,0.3591,0.079,1.728,0.3869,0.2769,37219.0,1.269,1,29,0.7078,5,0,0,3,1,4,0,1,0.1374,0,0.2734,0.8619,0,1
69,1,2,2,2,0,0.8,1,0.5,36221.0,3018.0,2,0,5,50000,36385.0,13615.0,0.7277,0,0.6786110233126886,-0.0763,2,0,-2,3,0,1,3,3,0.5,11823.0,25303.0,29726.0,13558.0,15913.0,3165.0,16581.0,29726.0,8766.19,11084.0,12639.0,24113.0,10911.0,13209.0,2342.0,12383.0,74298.0,0.7468,780.0,2,12,5,6.1,1,0,0,0,1,2,1,213,5,0,195,0,17282.0,21,822.95,0.1641,1,1,0.5684,0.2413,0.3582,0.1707,0,0.4626,1.0045,5.4922,1.3804,0.01,1811.0,5.7244,1,8,0.5755,11,1,1,0,1,7,29,1,0.5114,0,0.3456,4.1017,1,0
47,2,2,2,1,1,2.8,4,1.2,68990.0,5749.0,4,0,3,20000,4304.0,15696.0,0.2152,0,0.1965759412569231,0.0203,2,-1,1,1,-1,0,2,3,0.5,2996.0,7447.0,11707.0,4738.0,3448.0,10007.0,6724.0,11707.0,3283.94,1976.0,5820.0,5855.0,4190.0,2142.0,6070.0,4342.0,26053.0,0.6457,737.0,1,13,5,3.9,1,0,0,0,1,1,1,173,2,1,0,3,4774.0,17,280.82,0.0764,1,1,0.4137,0.1063,0.2758,0.3047,0,0.6226,0.0624,1.1694,0.2899,0.0429,8279.0,0.8303,1,10,0.4298,8,1,1,1,0,8,0,1,0.0816,0,0.2387,0.7551,0,0
62,1,2,1,2,1,1.3,3,2.9,20382.0,1698.0,2,0,5,150000,15150.0,134850.0,0.101,0,0.1444895781680465,0.0898,0,-1,0,0,0,1,1,1,0.8333,51734.0,104792.0,43647.0,6662.0,8373.0,48429.0,43940.0,104792.0,32758.23,34369.0,26296.0,38704.0,4475.0,2688.0,35660.0,23699.0,142192.0,0.5393,826.0,2,8,8,6.4,1,0,0,0,4,2,1,29,1,1,195,1,38268.0,19,2014.11,0.0479,3,0,0.5022,0.1024,0.3197,0.2378,0,0.6084,0.7433,25.8623,7.3591,0.0674,5911.0,22.5238,1,11,0.1809,10,1,1,0,0,8,40,1,0.2824,0,0.2551,13.9488,0,1
36,2,2,1,1,2,0.5,1,1.8,58992.0,4916.0,2,1,3,150000,55155.0,94845.0,0.3677,0,0.4328078355401645,0.0814,1,-1,2,0,3,0,3,3,0.5,66115.0,53010.0,79425.0,46509.0,59209.0,16302.0,53428.0,79425.0,19564.47,29374.0,35763.0,61129.0,9609.0,34074.0,10487.0,30073.0,180436.0,0.5629,775.0,3,4,6,6.3,1,1,0,0,2,1,1,94,7,1,95,2,36809.0,25,1472.36,0.0969,1,0,0.5361,0.2051,0.4214,0.2774,0,0.3219,0.9349,10.866,2.5427,0.1059,10619.0,7.4861,1,8,0.8691,9,1,1,0,0,7,32,1,0.7466,0,0.2454,6.1161,1,1
67,2,3,2,0,1,6.1,1,19.0,110220.0,9185.0,3,0,2,20000,6584.0,13416.0,0.3292,0,0.3444939120087256,-0.0616,0,1,0,1,-1,0,1,2,0.6667,6505.0,4421.0,9634.0,9261.0,2958.0,7172.0,6658.0,9634.0,2401.87,4137.0,3760.0,4794.0,8473.0,2503.0,6000.0,4944.0,29667.0,0.7426,676.0,1,4,0,5.2,0,0,0,0,2,2,1,44,3,0,95,0,4227.0,17,248.65,0.2231,1,0,0.7577,0.1138,0.1178,0.3575,0,0.1789,0.0597,0.7248,0.1815,0.3958,209418.0,0.4602,1,17,0.8058,7,0,1,2,0,1,0,1,0.7182,0,0.2113,0.5382,0,0
71,2,1,3,3,0,4.4,1,4.7,37245.0,3104.0,4,0,2,10000,4228.0,5772.0,0.4228,0,0.4908251113891081,0.0489,-1,-1,-1,-1,-1,1,1,1,0.8333,5498.0,2163.0,957.0,1007.0,5396.0,3589.0,3102.0,5498.0,1875.82,5142.0,1389.0,694.0,751.0,4481.0,2319.0,2463.0,14776.0,0.794,752.0,0,4,8,33.8,0,0,0,0,2,4,0,27,3,1,95,0,2969.0,13,228.38,0.0455,0,1,0.478,0.0061,0.1951,0.1903,0,0.6681,0.1135,0.999,0.2685,0.0904,17505.0,0.9562,1,14,0.2508,10,1,1,0,0,8,0,0,0.4695,0,0.2969,0.7932,0,0
