feature,reason,correlated_with,max_abs_corr
credit_limit_to_income,correlation_limit,payment_to_income_ratio,0.9453425059634502
monthly_obligation_ratio,correlation_limit,payment_to_income_ratio,0.9841522987932775
spend_to_income_ratio,correlation_limit,payment_to_income_ratio,0.9634993184230012
debt_to_income_ratio,correlation_limit,payment_to_income_ratio,0.7828982863609129
avg_pay_amt,correlation_limit,payment_to_income_ratio,0.7821617437379756
limit_bal,correlation_limit,payment_to_income_ratio,0.7363418420994148
current_balance,correlation_limit,payment_to_income_ratio,0.6057695862034435
repeat_late_payer_flag,correlation_limit,num_late_payments,0.6497929442957362
payment_consistency_score,correlation_limit,num_late_payments,0.9999999888403609
balance_to_limit_6m_avg,correlation_limit,credit_utilization,0.9702157262711987
