feature,mutual_information,univariate_auc_lift,mi_rank_score,auc_rank_score,selection_score
payment_to_income_ratio,0.10255494439438073,0.23401161446967322,1.0,0.9411764705882353,0.9794117647058824
credit_limit_to_income,0.09743769518467515,0.23515992399747954,0.9705882352941176,0.9705882352941176,0.9705882352941175
monthly_obligation_ratio,0.09456887760450927,0.23701025936711595,0.9117647058823529,1.0,0.9426470588235294
spend_to_income_ratio,0.09503437087673583,0.23353555258746728,0.9411764705882353,0.9117647058823529,0.9308823529411765
debt_to_income_ratio,0.07308110764045272,0.21997284929167304,0.8823529411764706,0.8823529411764706,0.8823529411764706
avg_pay_amt,0.06376223615178223,0.2003890628383196,0.8529411764705882,0.8235294117647058,0.8426470588235294
limit_bal,0.05831077253833228,0.2005402407070861,0.8235294117647058,0.8529411764705882,0.8338235294117646
current_balance,0.05568333971273054,0.18513498719099641,0.7941176470588235,0.7941176470588235,0.7941176470588234
annual_income,0.01948972345475264,0.12592951033843502,0.7647058823529411,0.7647058823529411,0.7647058823529411
max_pay_delay,0.008804774600582599,0.048004982495578274,0.7058823529411765,0.6764705882352942,0.6955882352941176
num_late_payments,0.005910279839691057,0.055570152710569976,0.5882352941176471,0.7058823529411765,0.6294117647058823
num_credit_inquiries_6m,0.008434150964256704,0.004204807816289902,0.6764705882352942,0.35294117647058826,0.5632352941176471
autopay_enrolled,0.00581458105299304,0.02048881006425185,0.5588235294117647,0.5294117647058824,0.5485294117647059
customer_service_calls_6m,0.0073387658373251785,0.003059125776386229,0.6470588235294118,0.2647058823529412,0.5132352941176471
repeat_late_payer_flag,0.0007976229523289913,0.03449478030065278,0.4117647058823529,0.6470588235294118,0.49411764705882355
min_pay_flag,0.010049035073420809,0.0,0.7352941176470589,0.029411764705882353,0.4882352941176471
num_public_records,0.00619300106511389,0.0024764073482079207,0.6176470588235294,0.23529411764705882,0.4838235294117647
credit_utilization,0.0010241397268881958,0.027370492824281833,0.4411764705882353,0.5588235294117647,0.48235294117647054
num_delinquencies_2yr,0.003802130726727304,0.011400037466031132,0.5,0.4117647058823529,0.46911764705882353
pay_to_bill_ratio,0.004160422144800613,0.0017539941465408715,0.5294117647058824,0.20588235294117646,0.41617647058823526
payment_consistency_score,0.0,0.05557015271057009,0.19117647058823528,0.7352941176470589,0.38161764705882356
num_open_accounts,0.0006917036342504179,0.0033969039434214032,0.38235294117647056,0.29411764705882354,0.3514705882352941
spend_to_limit_ratio,0.0,0.028589793182642098,0.19117647058823528,0.6176470588235294,0.34044117647058825
balance_to_limit_6m_avg,0.0,0.028571838681974215,0.19117647058823528,0.5882352941176471,0.3301470588235294
bankruptcy_flag,0.0025499686154959456,8.077092441349798e-05,0.47058823529411764,0.058823529411764705,0.3264705882352941
returned_payment_count,0.0,0.018520870282381918,0.19117647058823528,0.5,0.29926470588235293
income_stability_index,0.0,0.017965351219713988,0.19117647058823528,0.47058823529411764,0.2889705882352941
cash_advance_usage_pct,0.0,0.011793284822121497,0.19117647058823528,0.4411764705882353,0.2786764705882353
dispute_count_1yr,0.0,0.007320911154416021,0.19117647058823528,0.38235294117647056,0.2580882352941176
months_since_last_delinquency,0.0,0.003937825851074939,0.19117647058823528,0.3235294117647059,0.2375
oldest_account_years,0.0,0.0016175107471553818,0.19117647058823528,0.17647058823529413,0.1860294117647059
cash_advance_count_6m,0.0,0.0015536238653752754,0.19117647058823528,0.14705882352941177,0.17573529411764705
debt_collection_flag,0.0,0.0014370899111764146,0.19117647058823528,0.11764705882352941,0.16544117647058823
credit_score,0.0,0.0002320947647302951,0.19117647058823528,0.08823529411764706,0.15514705882352942
